"For all samples, full population testing is appropriate and recommended if it is less work for us and the client and provides better assurance. Guidance was written to sample in case full population is not available or less efficient.
PA-45,"CC 3.2, CC 7.5,  A 1.2, A 1.3","CC 3.2: The entity identifies risks to the achievement of its objectives across the entity and analyzes risks as a basis for determining how the risks should be managed.
CC 7.5: The entity identifies, develops, and implements activities to recover from identified security incidents.
A 1.2: The entity authorizes, designs, develops or acquires, implements, operates, approves, maintains, and monitors environmental protections, software, data backup processes, and recovery infrastructure to meet its objectives.
A 1.3: The entity tests recovery plan procedures supporting system recovery to meet its objectives.",The company has a documented business continuity/disaster recovery (BC/DR) plan and tests it at least annually.,"• Provide the company's Business Continuity and Disaster Recovery Plan.
• Evidence of annual testing of the plan, such as a BC/DR plan tabletop report.",No exceptions noted,,
PA-46,"CC 3.2, CC 3.3, CC 3.4, CC 7.1, CC 9.1, A 1.2 ","CC 3.2: The entity identifies risks to the achievement of its objectives across the entity and analyzes risks as a basis for determining how the risks should be managed.
CC 3.3: The entity considers the potential for fraud in assessing risks to the achievement of objectives.
CC 3.4: The entity identifies and assesses changes that could significantly impact the system of internal control.
CC 7.1: To meet its objectives, the entity uses detection and monitoring procedures to identify (1) changes to configurations that result in the introduction of new vulnerabilities, and (2) susceptibilities to newly discovered vulnerabilities.
CC 9.1: The entity identifies, selects, and develops risk mitigation activities for risks arising from potential business disruptions.
A 1.2: The entity authorizes, designs, develops or acquires, implements, operates, approves, maintains, and monitors environmental protections, software, data backup processes, and recovery infrastructure to meet its objectives.","The company's risk assessments are performed at least annually. As part of this process, threats and changes (environmental, regulatory, and technological) to service commitments are identified and the risks are formally assessed. The risk assessment includes a consideration of the potential for fraud and how fraud may impact the achievement of objectives.","• A completed annual risk assessment which includes the identification of threats and changes (environmental, regulatory, and technological) to service commitments and shows that the risks are formally assessed. The risk assessment should include a consideration of the potential for fraud and how fraud may impact the achievement of objectives.",No exceptions noted,"Need clarification here, we have several fraud risk assessments ","No risks are categorized under ‘Fraud’ in the risk register. Additionally, in the available risk register, no risk owner has been assigned to the identified risks. Please specify the assigned risk owner for each identified risk."
PA-47,"CC 3.2, CC 4.1, CC 4.2, CC 5.3, CC 9.2, ","CC 3.2: The entity identifies risks to the achievement of its objectives across the entity and analyzes risks as a basis for determining how the risks should be managed.
CC 4.1: The entity selects, develops, and performs ongoing and/or separate evaluations to ascertain whether the components of internal control are present and functioning.
CC 4.2: The entity evaluates and communicates internal control deficiencies in a timely manner to those parties responsible for taking corrective action, including senior management and the board of directors, as appropriate.
CC 5.3: The entity deploys control activities through policies that establish what is expected and in procedures that put policies into action.
CC9.2: The entity assesses and manages risks associated with vendors and business partners.
","The company has a vendor management program in place. Components of this program include:
 - critical third-party vendor inventory;
 - vendor's security and privacy requirements; and
 - review of critical third-party vendors at least annually.",• A complete and accurate list or vendor inventory showing the company's vendors with criticality and risk level assigned to each.,No exceptions noted,,
PA-48,"CC 3.4, CC 4.1, CC 7.2, CC 8.1","CC 3.4: The entity identifies and assesses changes that could significantly impact the system of internal control.
CC 4.1: The entity selects, develops, and performs ongoing and/or separate evaluations to ascertain whether the components of internal control are present and functioning.
CC 7.2: The entity monitors system components and the operation of those components for anomalies that are indicative of malicious acts, natural disasters, and errors affecting the entity's ability to meet its objectives; anomalies are analyzed to determine whether they represent security events.
CC 8.1: The entity authorizes, designs, develops or acquires, configures, documents, tests, approves, and implements changes to infrastructure, data, software, and procedures to meet its objectives.",The company's penetration testing is performed at least annually. A remediation plan is developed and changes are implemented to remediate vulnerabilities in accordance with SLAs.,"• Provide records of security vulnerabilities found in the annual penetration test and tickets filed to address issues discovered.
• A policy or documentation that outlines the company's SLAs for remediating penetration test findings.",No exceptions noted,,
PA-49,CC 6.1,"CC 6.1: The entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events to meet the entity's objectives.","The company requires authentication to production datastores to use authorized secure authentication mechanisms, such as unique SSH key.","• Screenshots showing the company's secure authentication mechanisms required to access production datastores, (such as unique SSH keys or MFA). This could be screenshots of configurations to show that such mechanisms are required, or users and whether MFA, SSH keys, or similar in place for each.",No exceptions noted,,
PA-50,CC 6.1,"CC 6.1: The entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events to meet the entity's objectives.",The company's datastores housing sensitive customer data are encrypted at rest.,• Screenshots of configurations or datastore status for company datastores housing sensitive customer data to show that encryption at rest is enabled.,No exceptions noted,,
PA-51,"CC 6.1, CC 6.6","CC 6.1: The entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events to meet the entity's objectives.
CC 6.6: The entity implements logical access security measures to protect against threats from sources outside its system boundaries.",The company's production systems can only be remotely accessed by authorized employees possessing a valid multi-factor authentication (MFA) method.,• Screenshots of configurations or similar to show that production systems can only be remotely accessed by authorized employees possessing a valid multi-factor authentication (MFA) method.,No exceptions noted,,
PA-52,"CC 6.1, CC 6.6","CC 6.1: The entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events to meet the entity's objectives.
CC 6.6: The entity implements logical access security measures to protect against threats from sources outside its system boundaries.",The company's production systems can only be remotely accessed by authorized employees via an approved encrypted connection.,"• Screenshots of systems, tools, or configurations to show that production systems can only be remotely accessed by authorized employees via an approved encrypted connection, (such as VPN, TLS, etc).",No exceptions noted,,
PA-53,CC 6.1,"CC 6.1: The entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events to meet the entity's objectives.
",The company's network is segmented to prevent unauthorized access to customer data.,• Screenshots of configurations or similar to show network segmentation is deployed.,No exceptions noted,,
PA-54,"CC 6.2, CC 6.3, CC 6.4","CC 6.2: Prior to issuing system credentials and granting system access, the entity registers and authorizes new internal and external users whose access is administered by the entity. For those users whose access is administered by the entity, user system credentials are removed when user access is no longer authorized.
CC 6.3: The entity authorizes, modifies, or removes access to data, software, functions, and other protected information assets based on roles, responsibilities, or the system design and changes, giving consideration to the concepts of least privilege and segregation of duties, to meet the entity’s objectives.
CC 6.4: The entity restricts physical access to facilities and protected information assets (for example, data center facilities, back-up media storage, and other sensitive locations) to authorized personnel to meet the entity’s objectives.",The company conducts access reviews at least quarterly for the in-scope system components to help ensure that access is restricted appropriately. Required changes are tracked to completion.,• Provide the company's quarterly detailed access review reports or records of review from during the audit period.,No exceptions noted,,
PA-55,"CC 6.6, CC 7.2, , A 1.3","CC 6.6: The entity implements logical access security measures to protect against threats from sources outside its system boundaries.
CC 7.2: The entity monitors system components and the operation of those components for anomalies that are indicative of malicious acts, natural disasters, and errors affecting the entity's ability to meet its objectives; anomalies are analyzed to determine whether they represent security events.
A 1.3: The entity tests recovery plan procedures supporting system recovery to meet its objectives.",The company uses an intrusion detection system to provide continuous monitoring of the company's network and early detection of potential security breaches.,• Screenshots of the intrusion detection system and its configurations to show that an intrusion detection system is in place to provide continuous monitoring of the company's network and early detection of potential security breaches.,No exceptions noted,,
PA-56,"CC 6.6, CC 6.7","CC 6.6: The entity implements logical access security measures to protect against threats from sources outside its system boundaries.
CC 6.7: The entity restricts the transmission, movement, and removal of information to authorized internal and external users and processes, and protects it during transmission, movement, or removal to meet the entity’s objectives.
",The company uses secure data transmission protocols to encrypt confidential and sensitive data when transmitted over public networks.,• Provide screenshots to show that secure data transmission protocols have been implemented and configured.,No exceptions noted,,
PA-57,CC 6.6,"CC 6.6: The entity implements logical access security measures to protect against threats from sources outside its system boundaries.
",The company reviews its firewall rulesets at least annually. Required changes are tracked to completion.,"• A report, detailed records, meeting minutes, or a ticket for the most recent firewall ruleset review. Evidence for this control should include details about the review, including rulesets reviewed, not only that a review was conducted.",No exceptions noted,,
PA-58,CC 6.6,"CC 6.6: The entity implements logical access security measures to protect against threats from sources outside its system boundaries.
",The company uses firewalls and configures them to prevent unauthorized access.,"In most cases this evidence will be gathered by your auditor and confirmed with you, your auditor will inform you if they cannot gather it.",No exceptions noted,,
PA-59,"CC 6.6, CC 8.1","CC 6.6: The entity implements logical access security measures to protect against threats from sources outside its system boundaries.
CC 8.1: The entity authorizes, designs, develops or acquires, configures, documents, tests, approves, and implements changes to infrastructure, data, software, and procedures to meet its objectives.","The company's network and system hardening standards are documented, based on industry best practices, and reviewed at least annually.",• Documented baseline hardening standards for each system and evidence such as records of at least annual review (speak to your auditor if there are a lot or this is hard to show).,No exceptions noted,,
PA-60,"CC 6.6, CC 6.8, CC 7.2, CC 7.4, CC 8.1","CC 6.6: The entity implements logical access security measures to protect against threats from sources outside its system boundaries.
CC 6.8: The entity implements controls to prevent or detect and act upon the introduction of unauthorized or malicious software to meet the entity’s objectives.
CC 7.2: The entity monitors system components and the operation of those components for anomalies that are indicative of malicious acts, natural disasters, and errors affecting the entity's ability to meet its objectives; anomalies are analyzed to determine whether they represent security events.
CC 7.4: The entity responds to identified security incidents by executing a defined incident response program to understand, contain, remediate, and communicate security incidents, as appropriate.
CC 8.1: The entity authorizes, designs, develops or acquires, configures, documents, tests, approves, and implements changes to infrastructure, data, software, and procedures to meet its objectives.",The company has infrastructure supporting the service patched as a part of routine maintenance and as a result of identified vulnerabilities to help ensure that servers supporting the service are hardened against security threats.,"• Screenshots or records showing current versions for all in-scope systems to determine if they are in alignment with the company's patching process as defined in the system description.
• Vendor documentation for in-scope systems to show current patches at the time of testing.
• Provide tickets, records, or similar to show that detected vulnerabilities are resolved.

Configurations showing automated patching enabled on relevant systems and current versions against the newest vendor release can also work.",No exceptions noted,,
PA-61,CC 6.7,"CC 6.7: The entity restricts the transmission, movement, and removal of information to authorized internal and external users and processes, and protects it during transmission, movement, or removal to meet the entity’s objectives.
",The company has a mobile device management (MDM) system in place to centrally manage mobile devices supporting the service.,"• A complete and accurate system generated list of assets or similar and enrollment status to show confirmation of MDM deployment on all in-scope assets.
• Evidence such as screenshots of configurations showing the MDM is configured and operating.",No exceptions noted,Updated,Please update the Asset Management Policy to include that the company uses a Mobile Device Management (MDM) system to centrally manage mobile devices supporting the service.
PA-62,CC 6.8,"CC 6.8: The entity implements controls to prevent or detect and act upon the introduction of unauthorized or malicious software to meet the entity’s objectives.
","The company deploys anti-malware technology to environments commonly susceptible to malicious attacks and configures this to be updated routinely, logged, and installed on all relevant systems.","• Evidence such as MDM records showing AV/AM is deployed on all in-scope components.
• Evidence such as screenshots of configurations or MDM records showing signatures are updated regularly.",No exceptions noted,,
PA-63,"CC 7.4, CC 7.5","CC 7.4: The entity responds to identified security incidents by executing a defined incident response program to understand, contain, remediate, and communicate security incidents, as appropriate.
CC 7.5: The entity identifies, develops, and implements activities to recover from identified security incidents.",The company tests their incident response plan at least annually.,"• Provide a report or meeting minutes to show that an annual test of your incident response process was planned and completed, just ensure that the report or meeting minutes include date and attendees, as well as details around the test conducted, lessons learned, and actions taken as a result of the test.",No exceptions noted,,
PA-64,"CC 1.1, CC 1.4","CC 1.1: The entity demonstrates a commitment to integrity and ethical values.
CC 1.4: The entity demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives.",The company performs background checks on new employees.,Provide a complete and accurate system generated list of employees hired during the audit period.,No exceptions noted,Updated,Please update the Code of Conduct to state that background checks are required as part of new employee onboarding.
PA-65,CC 1.1,"CC 1.1: The entity demonstrates a commitment to integrity and ethical values.
",The company requires contractor agreements to include a code of conduct or reference to the company code of conduct.,• A complete and accurate system generated list showing the contractors on-boarded during the audit period.,No exceptions noted,,
PA-66,"CC 1.1, CC 1.5","CC 1.1: The entity demonstrates a commitment to integrity and ethical values.
CC 1.5: The entity holds individuals accountable for their internal control responsibilities in the pursuit of objectives.",The company requires employees to acknowledge a code of conduct at the time of hire. Employees who violate the code of conduct are subject to disciplinary actions in accordance with a disciplinary policy.,"• Provide a complete and accurate system generated list of company employees who were hired during the audit period.
• Provide a copy of the company's Code of Conduct, ensure that the policy includes processes and procedures for violations of the code.",No exceptions noted,,
PA-67,CC 1.1,"CC 1.1: The entity demonstrates a commitment to integrity and ethical values.
",The company requires contractors to sign a confidentiality agreement at the time of engagement.,• A complete and accurate system generated list showing the population of contractors on-boarded during the audit period.,No exceptions noted,,
PA-68,CC 1.1,"CC 1.1: The entity demonstrates a commitment to integrity and ethical values.
",The company requires employees to sign a confidentiality agreement during onboarding.,"• A complete and accurate system generated list showing the employees hired during the audit period, (including date of onboarding).",No exceptions noted,,
PA-69,"CC 1.4, CC 2.2","CC 1.4: The entity demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives.
CC 2.2: The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control.",The company requires employees to complete security awareness training within thirty days of hire and at least annually thereafter.,"• A complete and accurate system generated list of company employees, including hire dates.",No exceptions noted,,
PA-70,"CC 5.3, CC 7.1, CC 8.1","CC 5.3: The entity deploys control activities through policies that establish what is expected and in procedures that put policies into action.
CC 7.1: To meet its objectives, the entity uses detection and monitoring procedures to identify (1) changes to configurations that result in the introduction of new vulnerabilities, and (2) susceptibilities to newly discovered vulnerabilities.
CC 8.1: The entity authorizes, designs, develops or acquires, configures, documents, tests, approves, and implements changes to infrastructure, data, software, and procedures to meet its objectives.","The company requires changes to software and infrastructure components of the service to be authorized, formally documented, tested, reviewed, and approved prior to being implemented in the production environment.","• Provide a complete and accurate system generated list of changes implemented during the audit period.
• Provide a screenshot to show that at least one approval is required to merge to the default branch for a version control repository.",No exceptions noted,,
PA-71,"CC 6.2, CC 6.3, CC 6.5","CC 6.2: Prior to issuing system credentials and granting system access, the entity registers and authorizes new internal and external users whose access is administered by the entity. For those users whose access is administered by the entity, user system credentials are removed when user access is no longer authorized.
CC 6.3: The entity authorizes, modifies, or removes access to data, software, functions, and other protected information assets based on roles, responsibilities, or the system design and changes, giving consideration to the concepts of least privilege and segregation of duties, to meet the entity’s objectives.
CC 6.5: The entity discontinues logical and physical protections over physical assets only after the ability to read or recover data and software from those assets has been diminished and is no longer required to meet the entity’s objectives.
",The company completes termination checklists to ensure that access is revoked for terminated employees within SLAs.,"• A complete and accurate system generated list showing the users and contractors terminated during the audit period, (including date of termination).
• A copy of user lists for all environments in scope.",No exceptions noted,,
PA-72,CC 6.4,"CC 6.4: The entity restricts physical access to facilities and protected information assets (for example, data center facilities, back-up media storage, and other sensitive locations) to authorized personnel to meet the entity’s objectives.","The company requires visitors to sign-in, wear a visitor badge, and be escorted by an authorized employee when accessing the data center or secure areas.",• A copy of the company's visitor log covering the audit period.,No exceptions noted,,
PA-73,"CC 6.5, C 1.2","CC 6.5: The entity discontinues logical and physical protections over physical assets only after the ability to read or recover data and software from those assets has been diminished and is no longer required to meet the entity’s objectives.
C 1.2: The entity disposes of confidential information to meet the entity's objectives related to confidentiality.","The company has electronic media containing confidential information purged or destroyed in accordance with best practices, and certificates of destruction are issued for each device destroyed.","• A complete and accurate list or records showing all of the assets that were recovered during the audit period to be purged or destroyed.

In some cases, instead of media destruction, the company resorts to data wiping to delete confidential information. In this case, please provide your internal tracker or logs that list all the e-media wiped during the observation period, or similar records. The control description will need to be rephrased to reflect your process, please also inform your auditor.",No exceptions noted,,
PA-74,"CC 6.5, ","CC 6.5: The entity discontinues logical and physical protections over physical assets only after the ability to read or recover data and software from those assets has been diminished and is no longer required to meet the entity’s objectives.
","The company purges or removes customer data containing confidential information from the application environment, in accordance with best practices, when customers leave the service.","• Provide the company's Data Management Policy, ensure that it outlines how the company purges or removes relevant customer data in accordance with best practices when customers leave the service.
• A complete and accurate system generated list showing any clients that left during the audit period.",No exceptions noted,,
PA-75,"CC 7.3, CC 7.4, CC 7.5,  C 1.2","CC 7.3: The entity evaluates security events to determine whether they could or have resulted in a failure of the entity to meet its objectives (security incidents) and, if so, takes actions to prevent or address such failures.
CC 7.4: The entity responds to identified security incidents by executing a defined incident response program to understand, contain, remediate, and communicate security incidents, as appropriate.
CC 7.5: The entity identifies, develops, and implements activities to recover from identified security incidents.
C 1.2: The entity disposes of confidential information to meet the entity's objectives related to confidentiality.","The company's security and privacy incidents are logged, tracked, resolved, and communicated to affected or relevant parties by management according to the company's security incident response policy and procedures.","• Provide the company's Incident Response Plan, ensure the policy includes logging, tracking, resolving, and communicating incidents.
• A complete and accurate system generated list of the security and privacy incidents that occurred during the audit period if any.",No exceptions noted,,
PA-76,"CC 6.4
","CC 6.4: The entity restricts physical access to facilities and protected information assets (for example, data center facilities, back-up media storage, and other sensitive locations) to authorized personnel to meet the entity’s objectives.","The company has processes in place for granting, changing, and terminating physical access to company data centers based on an authorization from control owners.
","• Provide the company's Physical Security Policy, ensure it includes processes for granting, changing, and terminating physical access to company data centers based on an authorization from control owners.
• A complete and accurate system generated list showing the users with data center access, including a list modification date.",No exceptions noted,,
PA-77,CC 2.3,"CC 2.3: The entity communicates with external parties regarding matters affecting the functioning of internal control.
",The company notifies customers of critical system changes that may affect their processing.,"• Provide evidence of your public release notes/updates if they include critical system changes from during the audit period (please provide screenshots instead of links). 

• If the previous request is unavailable, or critical changes are communicated in some other way, provide a system generated list or records that show all of the critical changes that occurred during the audit period.
• If the company does not perform software development and only focuses on providing services with the involvement of data handling, this control may not be applicable, (please inform your auditor).",No exceptions noted,,
PA-78,CC 6.7,"CC 6.7: The entity restricts the transmission, movement, and removal of information to authorized internal and external users and processes, and protects it during transmission, movement, or removal to meet the entity’s objectives.",The company encrypts portable and removable media devices when used.,"• Provide the company's Cryptography Policy, ensure it includes processes and procedures around encrypting portable and removable media devices when used.

If the company is not utilizing removable media, the company policies should include that the company prohibits the use of removable media.",No exceptions noted,,
PA-79,C 1.1,C 1.1: The entity identifies and maintains confidential information to meet the entity's objectives related to confidentiality.,Procedures are in place to identify and designate confidential information when it is received or created and to determine the period over which the confidential information is to be retained.,• A Data Classification Policy or similar in place to help ensure that confidential data is properly secured and restricted to authorized personnel. Evidence that employees have accepted the policy and that the policy has been approved within a year of the observation period or in accordance with company process. (Typically this is done before the start of the observation period).,No exceptions noted,,
PA-80,C 1.1,C 1.1: The entity identifies and maintains confidential information to meet the entity's objectives related to confidentiality.,"The company prohibits confidential or sensitive customer data, by policy, from being used or stored in non-production systems/environments.","• Provide the written policy that prohibits sensitive customer data in non-production environments.
 • Evidence such as system scans or reviews from during the audit period showing that non-production systems do not contain sensitive customer data.",No exceptions noted,Updated,Please update the Data Protection Policy to explicitly state that customer data cannot be used or stored in non-production systems.
PA-81,C 1.1,C 1.1: The entity identifies and maintains confidential information to meet the entity's objectives related to confidentiality.,Procedures are in place to protect confidential information from erasure or destruction during the specified retention period of the information.,"• A Data Classification Policy or similar in place to help ensure that confidential data is properly secured and restricted to authorized personnel. Evidence that employees have accepted the policy and that the policy has been approved within a year of the observation period or in accordance with company process. (Typically this is done before the start of the observation period).
 • Evidence such as screenshots of configurations, access restrictions, encryption, and/or similar to show that the company protects confidential information from erasure or destruction during the specified retention period of the information.",No exceptions noted,,
PA-82,C 1.2,C 1.2: The entity disposes of confidential information to meet the entity's objectives related to confidentiality.,Procedures are in place to identify confidential information requiring destruction when the end of the retention period is reached.,"• A Data Retention and Disposal Policy or similar with retention and disposal procedures to guide the secure retention and disposal of company and customer data. Evidence that employees have accepted the policy and evidence that the policy has been approved within a year of the observation period or in accordance with company process. (Typically this is done before the start of the observation period).
 • Evidence such as screenshots of a tool, configurations, and/or similar to show that procedures are in place to identify confidential information requiring destruction when the end of the retention period is reached.",No exceptions noted,,
PA-83,C 1.2,C 1.2: The entity disposes of confidential information to meet the entity's objectives related to confidentiality.,Procedures are in place to erase or otherwise destroy confidential information that has been identified for destruction.,"• A Data Retention and Disposal Policy or similar with retention and disposal procedures to guide the secure retention and disposal of company and customer data. Evidence that employees have accepted the policy and evidence that the policy has been approved within a year of the observation period or in accordance with company process. (Typically this is done before the start of the observation period).
 • Evidence such as records confidential information destruction. (Your auditor will work with you to select a sample).",No exceptions noted,,
PA-84,A 1.1,"A 1.1: The entity maintains, monitors, and evaluates current processing capacity and use of system components (infrastructure, data, and software) to manage capacity demand and to enable the implementation of additional capacity to help meet its objectives.","The company evaluates system capacity on an ongoing basis, and system changes are implemented to help ensure that processing capacity can meet demand.","• An Information Security Policy or similar with processes to see that an infrastructure monitoring tool is to be utilized to monitor systems, infrastructure, and performance and generate alerts when specific predefined thresholds are met. Evidence that employees have accepted the policies.
 • Evidence such as a screenshot of configurations to show that an infrastructure monitoring tool is utilized to monitor systems, infrastructure, and performance and generates alerts when specific predefined thresholds are met.",No exceptions noted,Updated,Please update the Change Management Policy to state that the company continuously evaluates system capacity and makes changes as needed to meet demand.
PA-85,A 1.2,"A 1.2: The entity authorizes, designs, develops or acquires, implements, operates, approves, maintains, and monitors environmental protections, software, data backup processes, and recovery infrastructure to meet its objectives.",The company performs database backups daily. Alerts are configured to notify administrators if replication fails.,"• A Business Continuity and Disaster Recovery Plan or similar with processes to see that the company performs backups of customer data at least daily, where available. Backups are to be retained in accordance with the company Business Continuity and Disaster Recovery Plan.
 • Evidence such as a screenshot to show that this is configured.
 • Evidence such as a screenshot or records to show that backups were retained in accordance with company policy.",No exceptions noted,,
PA-86,A 1.2,"A 1.2: The entity authorizes, designs, develops or acquires, implements, operates, approves, maintains, and monitors environmental protections, software, data backup processes, and recovery infrastructure to meet its objectives.",The company's databases are replicated to a secondary data center in real-time. Alerts are configured to notify administrators if replication fails.,"• The Vanta automated test can be used to show that databases are replicated to a secondary data center in real-time.
 • Provide a screenshot showing alert configurations to notify administrators if replication fails.",No exceptions noted,,
PA-87,A 1.2,"A 1.2: The entity authorizes, designs, develops or acquires, implements, operates, approves, maintains, and monitors environmental protections, software, data backup processes, and recovery infrastructure to meet its objectives.",The company performs periodic backups for production data. Data is backed up to a different location than the production system.,"• The Vanta automated test can be used to show that production data backups were completed during the audit period.
 • Evidence such as screenshots or configuration settings showing that backup storage is located separately from production systems.",No exceptions noted,,
PA-88,A 1.2,"A 1.2: The entity authorizes, designs, develops or acquires, implements, operates, approves, maintains, and monitors environmental protections, software, data backup processes, and recovery infrastructure to meet its objectives.",The company has a multi-location strategy for production environments employed to permit the resumption of operations at other company data centers in the event of loss of a facility.,"• Provide documentation or diagrams showing the locations of different data centers used for production operations.
 • Evidence such as the most recent disaster recovery test results showing that operations can resume at alternate locations.",No exceptions noted,,
PA-89,A 1.2,"A 1.2: The entity authorizes, designs, develops or acquires, implements, operates, approves, maintains, and monitors environmental protections, software, data backup processes, and recovery infrastructure to meet its objectives.",The company has environmental monitoring devices in place and configured to automatically generate an alert to management for environmental incidents.,"• Provide screenshots of environmental monitoring system configurations showing alert settings.
 • Evidence such as all alert logs or notifications sent to management during environmental incidents if any during the audit period (your auditor will work with you to collect a sample, please confirm if there have been none).",No exceptions noted,,
PA-90,A 1.2,"A 1.2: The entity authorizes, designs, develops or acquires, implements, operates, approves, maintains, and monitors environmental protections, software, data backup processes, and recovery infrastructure to meet its objectives.",The company has maintenance inspections of environmental security measures at the company data centers performed at least annually.,• Provide the most recent annual inspection report or maintenance records showing annual reviews of environmental security measures.,Not applicable,,